探测器编号 时间 桩号 车速 车牌
D202150120001 2021-04-25T14:52 K31+950 3895 蓝渝FLD083
D202150120001 2021-04-25T14:52 K31+950 4620 蓝渝FPZ399
D202150120001 2021-04-25T14:52 K31+950 3644 蓝渝A8RB22
D202150120001 2021-04-25T14:52 K31+950 3705 蓝渝AE2Y97
D202150120001 2021-04-25T14:52 K31+950 4282 蓝渝A5MU78
D202150120001 2021-04-25T14:52 K31+950 4093 蓝渝A295YZ
D202150120001 2021-04-25T14:52 K31+950 3995 蓝沪C7Q5E6
D202150120001 2021-04-25T14:52 K31+950 3757 蓝渝H7AT72
D202150120001 2021-04-25T14:52 K31+950 4879 蓝渝F6E839
D202150120001 2021-04-25T14:52 K31+950 4684 蓝渝F2A816
D202150120001 2021-04-25T14:52 K31+950 3244 蓝渝A629BV
D202150120001 2021-04-25T14:52 K31+950 4035 蓝渝A25C61
D202150120001 2021-04-25T14:52 K31+950 4355 蓝渝AF31H7
D202150120001 2021-04-25T14:52 K31+950 4418 蓝渝F1C221
D202150120001 2021-04-25T14:52 K31+950 4520 蓝渝AX576H
D202150120001 2021-04-25T14:52 K31+950 4800 蓝渝DGT516
D202150120001 2021-04-25T14:52 K31+950 4588 蓝渝F218K7
D202150120001 2021-04-25T14:52 K31+950 5053 蓝渝FFV557
D202150120001 2021-04-25T14:52 K31+950 4145 蓝渝FJL969
D202150120001 2021-04-25T14:52 K31+950 4179 蓝渝FT5869
D202150120001 2021-04-25T14:52 K31+950 4588 蓝贵CGC775
D202150120001 2021-04-25T14:52 K31+950 4656 NO
D202150120001 2021-04-25T14:52 K31+950 4123 蓝渝FMF735
D202150120001 2021-04-25T14:52 K31+950 4622 蓝渝FJR009
D202150120001 2021-04-25T14:52 K31+950 4661 蓝渝A128XJ
D202150120001 2021-04-25T14:52 K31+950 4342 蓝渝FBX939
D202150120001 2021-04-25T14:51 K31+950 4917 蓝渝F1A157
D202150120001 2021-04-25T14:51 K31+950 5340 蓝渝A51FS7
D202150120001 2021-04-25T14:51 K31+950 5496 蓝渝A8387Z
D202150120001 2021-04-25T14:51 K31+950 3553 黄渝FN5638
